Year,Population
1960,30970254364.0
1961,31378681037.0
1962,31935522829.0
1963,32627288430.0
1964,33324651954.0
1965,34039268447.0
1966,34791710688.0
1967,35542559151.0
1968,36311509931.0
1969,37107924065.0
1970,37921633179.0
1971,38761975862.0
1972,39586926987.0
1973,40410577291.0
1974,41229610923.0
1975,42034983471.0
1976,42832349051.0
1977,43624966813.0
1978,44431379219.0
1979,45257297174.0
1980,46093525025.0
1981,46952359966.0
1982,47846606647.0
1983,48751597446.0
1984,49656312935.0
1985,50578915497.0
1986,51528604325.0
1987,52503949861.0
1988,53490209468.0
1989,54475587143.0
1990,55473925126.0
1991,56449522188.0
1992,57397630027.0
1993,58348613075.0
1994,59290066556.0
1995,60230214779.0
1996,61158476736.0
1997,62085133917.0
1998,63003035467.0
1999,63909432535.0
2000,64809786732.0
2001,65706025855.0
2002,66601653971.0
2003,67502063312.0
2004,68408684980.0
2005,69322139550.0
2006,70242767162.0
2007,71168977697.0
2008,72109715796.0
2009,73054980365.0
2010,74003782523.0
2011,74959600104.0
2012,75950255197.0
2013,76955905190.0
2014,77964946538.0
2015,78971902017.0
2016,79982705474.0
2017,80996992699.0
2018,81990164659.0
2019,82962284863.0
2020,83910632389.0
